State/UT,cereal,cereal substitutes,gram,pulses and pulse products*,sugar,salt,milk and milk products,vegetables,fruits (fresh),fruits (dry),"egg, fish & meat",edible oil,spices,"beverages, processed food#, etc.",food: total (1-14) ,"pan, tobacco & intoxicants",fuel and light,toilet articles,other household consumables,education,medical (hospitalization),medical (non- hospitalization),conveyance,consumer services excluding conveyance&,entertainment,rent,other taxes & cesses,clothing & bedding$,footwear,durable goods,non-food: total (16-30),total expenditure (15+31)
Andhra Pradesh,4.7,0,0.13,2.03,0.46,0.1,6.8,5.32,3.41,1.62,6.71,2.31,3.08,9.2,45.85,3.75,5.27,2.71,2.48,3,2.44,5.78,8.94,4.77,1.83,0.74,0.28,4.73,0.68,6.74,54.15,100
Arunachal Pradesh,4.36,0,0.13,0.83,0.27,0.08,3.41,7.5,2.86,1.36,9.72,1.92,1.97,15.82,50.24,7.74,4.4,3.06,2.39,1.9,0.33,1.7,7.46,4.54,1.46,0.87,0.24,5.89,1.04,6.74,49.76,100
Assam,5.39,-,0.14,1.51,0.51,0.11,4.53,7.9,3.29,1.04,10.09,3.08,2.82,12.79,53.22,6.19,6.42,3.16,2,1.84,0.83,2.71,5.95,4.46,1,0.23,0.18,6.2,0.85,4.74,46.78,100
Bihar,6.59,0,0.33,1.87,0.69,0.13,9.08,6.91,2.92,1.27,5.62,3.46,3.2,10.46,52.53,3.02,5.69,2.98,2.38,3.21,1.81,4.9,4.86,5.01,0.89,0.38,0.21,5.65,0.75,5.71,47.47,100
Chhattis-garh,3.87,0,0.38,3.22,0.8,0.05,3.37,10.43,2.65,0.82,4.39,4.03,3.98,8.65,46.63,7.08,7.23,3.73,2.13,1.02,1.09,4.1,8.05,4.69,0.73,0.27,0.4,6.74,1.05,5.04,53.37,100
Delhi,3.05,-,0.25,1.14,0.58,0.07,10.93,4.31,2.35,1.56,1.69,1.7,2.14,10.55,40.32,5.23,5.64,3.57,2.38,3.93,0.49,3.75,9.54,5.01,2.14,3.98,0.11,4.95,0.73,8.24,59.68,100
Goa,3.75,-,0.38,1.21,0.46,0.07,5.8,4.64,4.16,1.21,9.79,1.46,2.63,13.32,48.87,2.49,4.49,2.87,2.97,1.66,0.99,4.48,11.14,5.61,1.57,0.53,0.16,4.27,0.73,7.16,51.13,100
Gujarat,4.5,0.01,0.41,1.76,0.86,0.07,11.99,6.59,2.5,0.9,1.19,4.08,3.82,10.33,49.01,3.04,6.82,2.68,2.25,1.95,2.99,3.32,8.34,5.08,0.91,0.46,0.31,5.91,0.98,5.94,50.99,100
Haryana,2.92,0.01,0.32,0.98,0.99,0.11,20.64,5.63,2.32,0.92,0.92,1.13,3.73,7.35,47.98,3.16,6.08,2.63,2.13,4.79,1.69,4.31,7.58,5.4,0.79,0.07,0.16,5.42,1.32,6.49,52.02,100
Himachal Pradesh ,4.02,0.02,0.35,1.8,0.76,0.07,11.03,5.44,2.37,1.56,2.34,2.01,2.02,10.95,44.73,2.68,5.68,3.47,2.76,4.02,2.16,4.76,7.24,6.14,0.68,1.52,0.08,5.85,1.6,6.63,55.27,100
Jharkhand,7.9,-,0.34,1.88,0.58,0.13,5.45,7.16,2.12,0.79,6.23,3.62,3.52,9.04,48.77,3.52,7.6,2.95,2.15,2.88,2,4.17,6.43,5.23,0.48,0.26,0.23,5.95,0.94,6.43,51.23,100
