State,cereal,cereal substitutes,gram,pulses and pulse products*,sugar,salt,milk and milk products,vegetables,fruits (fresh),fruits (dry),"egg, fish & meat",edible oil,spices,"beverages, processed food#, etc.",food: total (1-14) ,"pan, tobacco & intoxicants",fuel and light,toilet articles,other household consumables,education,medical (hospitalization),medical (non- hospitalization),conveyance,consumer services excluding conveyance&,entertainment,rent,other taxes & cesses,clothing & bedding$,footwear,durable goods,non-food: total (16-30),total expenditure (15+31)
Andhra Pradesh,3.97,0,0.1,1.54,0.34,0.07,6,3.88,3.03,1.46,4.97,1.66,2.25,10.14,39.43,2.5,4.97,2.68,2.4,5.61,1.63,4.67,8.42,4.79,1.99,8.04,0.34,4.39,0.67,7.47,60.57,100
Arunachal Pradesh,3.55,0,0.13,0.76,0.23,0.05,3.84,5.19,3.08,1.48,7.57,1.57,1.58,15.22,44.25,6.16,3.31,2.63,2.27,3.25,0.62,3,7.98,5.21,1.66,7.1,0.29,4.66,0.81,6.8,55.75,100
Assam,4.3,,0.11,1.08,0.36,0.08,4.46,5.24,2.87,1.46,7.27,2.32,2.18,15.66,47.4,4.28,5,3.55,1.83,3.2,1.06,3.03,7.48,5.08,1.67,4.73,0.32,5.28,0.68,5.4,52.6,100
Bihar,5.76,0,0.29,1.5,0.55,0.1,9.59,5.6,2.76,1.7,4.68,2.97,2.55,10.72,48.79,1.99,5.69,2.99,2.28,5.34,1.44,4.5,5.57,4.41,1.52,3.11,0.22,5.21,0.72,6.23,51.21,100
Chhattis-garh,4.47,0.01,0.32,2.29,0.61,0.09,5.52,6.95,2.77,1.36,2.51,2.72,2.61,8.31,40.53,4.52,6.52,3.6,2.17,4.43,1.17,4.66,9.03,5.56,1.6,3.21,0.89,5.83,0.91,5.35,59.47,100
Delhi,2.53,0,0.24,0.96,0.53,0.06,10.56,3.98,2.26,1.63,1.63,1.34,1.76,12.08,39.57,3.85,5.06,3.3,1.97,4.34,0.49,2.92,8.18,7.17,1.82,6.39,0.02,4.45,0.75,9.7,60.43,100
Goa,2.97,,0.32,0.98,0.38,0.06,5.57,3.78,4.04,1.01,8.16,1.37,2.12,17.17,47.94,2.31,4.29,3.1,2.65,1.73,1.33,3.99,9.91,4.34,1.82,4.13,0.21,4.51,0.82,6.93,52.06,100
Gujarat,3.79,0.02,0.3,1.3,0.57,0.07,9.2,4.76,2.37,1.06,0.8,2.88,2.6,13.65,43.37,1.41,6.22,3.11,2.04,6.26,2.58,2.68,9.43,4.9,1.88,4.99,0.49,4.92,0.85,4.88,56.63,100
Haryana,2.75,0,0.23,0.88,0.66,0.07,13.99,4.57,2.54,1.09,1.01,1.07,2.64,9.8,41.29,2.74,5.8,3.01,2.13,4.63,1.36,2.92,8.11,6.55,1.82,6.77,0.13,5.62,1.4,5.71,58.71,100
Himachal Pradesh ,3.12,0.01,0.26,1.14,0.47,0.05,8.66,4.01,2.27,1.28,1.58,1.39,1.44,12.22,37.9,3.4,4.43,3.45,2.3,7.14,1.39,3.4,6.28,5.87,1.39,9.02,0.16,6.29,1.46,6.12,62.1,100
Jharkhand,5.84,,0.3,1.44,0.38,0.09,6.7,5.16,2.46,1.11,3.56,2.51,2.65,8.66,40.86,1.58,6.18,3.34,2.11,6.37,1.68,3.6,8.02,4.94,1.68,5.72,0.26,5.97,0.95,6.73,59.14,100
Karnataka,3.6,0,0.17,1.3,0.43,0.06,4.54,3.2,2.86,1.31,3.92,1.51,2.26,12.52,37.67,2.9,4.27,3.01,2.42,6.3,2,2.98,8.34,5.01,1.81,11.98,0.39,3.9,0.73,6.28,62.33,100
Kerala,2.86,0.1,0.2,1.1,0.44,0.04,3.47,3.02,3.56,0.97,7.79,1.42,2.36,9.21,36.55,1.21,5.34,2.14,1.53,4.26,3.65,5.5,10.47,7.11,1.98,3.86,0.27,3.99,0.74,11.4,63.45,100
Madhya Pradesh,3.94,0.06,0.24,1.64,0.69,0.06,8.78,4.41,2.31,1.37,1.49,2.04,2.42,8.6,38.05,3.83,5.49,3.59,2.35,6.86,1.76,4.06,9.27,5.22,1.97,3.24,0.29,5.47,1.05,7.49,61.95,100
Maha-rashtra ,3.77,0.05,0.15,1.23,0.55,0.07,5.8,3.6,2.53,1.58,2.66,1.8,2.16,10.16,36.14,1.12,6.33,3.25,2,6.91,2.6,3.56,8.16,6.89,1.72,9.08,0.74,4.53,0.85,6.11,63.86,100
Manipur,6.68,,0.16,0.58,0.28,0.07,3.06,5.32,2.7,0.97,9.39,2.06,2.44,9.93,43.64,5.02,5.31,3.65,1.93,7.02,0.77,3.06,10.96,5.42,1.56,0.76,0.23,5.01,1.14,4.51,56.36,100
Meghalaya,3.58,,0.08,0.7,0.4,0.08,2.93,5.58,2.82,0.73,8.63,1.84,1.48,10.52,39.38,4.82,5.36,3.52,2.41,5.95,1.27,2.06,8.13,6.29,1.38,8.17,0.31,5.38,1.41,4.15,60.62,100
Mizoram,1.93,0,0.01,0.5,0.22,0.08,2.7,6.02,2.65,1.11,8.34,1.75,1.89,14.05,41.24,5.4,4.7,3.75,2.49,2.03,0.47,2.36,6.79,6.07,1.45,5.4,0.18,5.02,1.98,10.69,58.76,100
Nagaland,3.65,0.01,0.04,0.6,0.24,0.06,3.44,5.12,2.64,0.71,16,0.98,1.4,10.58,45.46,4.07,4.56,3.92,2.39,3.43,0.27,2.32,6.85,4.85,1.38,4.1,0.11,7.61,2.47,6.21,54.54,100
Odisha,5.24,,0.17,1.82,0.47,0.1,3.87,5.77,2.5,0.71,4,1.94,2.47,11.63,40.7,3.16,6.12,3.13,2.26,3.59,1.26,3.48,8.37,4.53,1.99,6.54,0.32,6.16,1.03,7.38,59.3,100
Punjab ,2.88,,0.31,1.05,0.74,0.07,11.98,4.09,2.22,0.93,1.07,1.62,1.67,12.69,41.3,1.4,7.51,3.64,2.1,5.57,2.41,5.08,8.55,5.53,1.45,3.17,0.04,5.7,1.5,5.06,58.7,100
Rajasthan,3.98,0.01,0.19,0.62,0.68,0.07,12.39,3.81,2.26,1.3,0.87,1.58,2.36,8.26,38.38,1.63,7.01,2.86,2.09,7.48,1.56,3.54,9.59,6.13,1,4.56,0.09,5.14,1.02,7.93,61.62,100
Sikkim,2.74,0.01,0.09,0.77,0.35,0.03,7.24,4.8,1.99,2.33,4.9,1.57,1.89,17.53,46.24,6.01,2.56,2.54,2.29,2.7,0.22,1.97,4.48,5.48,1.95,9.66,0.16,5.38,1.59,6.78,53.76,100
Tamil Nadu,3.4,0.01,0.14,1.23,0.27,0.05,4.38,3.67,2.78,1.01,4.88,1.21,2.29,13.23,38.57,2,4.07,2.7,2.2,5.8,2.13,3.67,9.91,5.15,1.73,9.86,0.2,3.92,0.62,7.45,61.43,100
Telangana,3.78,0,0.06,1.16,0.27,0.06,4.99,3.2,2.64,1.28,4.47,1.33,1.85,12.73,37.84,3.57,3.24,2.67,1.74,7.95,1.64,3.12,8.24,5.93,2.22,10.13,0.33,4.02,0.64,6.72,62.16,100
Tripura,3.45,0,0.04,0.88,0.24,0.06,4.81,5.89,3.45,1.25,9.93,1.87,2.57,8.99,43.46,5.24,5.25,3.17,2.38,4.09,1.32,6.2,6.06,3.94,1.63,2.63,0.27,6.98,1.17,6.22,56.54,100
Uttar Pradesh,3.68,0,0.26,1.38,0.68,0.09,10.55,4.51,2.29,1.5,2.22,2.26,2.47,9.49,41.37,3.06,6.73,3.09,2.4,6.09,1.75,4.46,7.62,5.49,1.98,2.75,0.18,5.49,0.95,6.58,58.63,100
Uttarakhand,3.86,,0.17,1.42,0.57,0.07,8.7,3.98,1.82,1.08,1.53,1.58,2.45,10.93,38.16,3.41,5.19,3.36,1.91,5.99,1.51,3.31,8.9,6.42,1.55,5.58,0.08,5.28,1.09,8.25,61.84,100
West Bengal,5.04,0,0.11,0.98,0.41,0.1,4.17,5.6,2.84,0.78,8.29,2.35,2.69,10.81,44.16,2.43,6.77,3.22,1.96,5.77,1.85,6.43,5.67,4.78,1.62,3.11,0.29,5.64,0.79,5.51,55.84,100
A & N Island,2.79,,0.12,1.73,0.42,0.05,4.2,6.53,2.68,0.75,5.75,1.85,2.05,14,42.91,2.62,4.5,3.17,2.49,3.18,2.28,1.42,6.99,5.17,1.09,8.05,0.22,4.67,0.77,10.47,57.09,100
